iter	Accuracy	MultiClass
196	0.856555078	0.7119865531
197	0.8570409867	0.7105043921
198	0.8570409867	0.7083822662
199	0.8565880881	0.7065482359
200	0.8565880881	0.7048609473
201	0.8565880881	0.7039375427
202	0.8565880881	0.702448599
203	0.8585317228	0.7006503321
204	0.8580458141	0.6993744336
205	0.8590176315	0.697551092
206	0.8595035401	0.6963459952
207	0.8595035401	0.6945228859
208	0.8599564387	0.6927801962
209	0.8604753575	0.6912731625
210	0.8599564387	0.6895852515
211	0.85947053	0.6877569345
212	0.8599564387	0.6861232411
213	0.8604423474	0.6845760591
214	0.8599894488	0.6829690006
215	0.860928256	0.6811074871
216	0.8604423474	0.6791819063
217	0.8599894488	0.6780696278
218	0.8604753575	0.6761881604
219	0.8604753575	0.6742615224
220	0.8604753575	0.6728092942
221	0.8604753575	0.6714069875
222	0.8619855573	0.6695715229
223	0.8624384558	0.6678559943
224	0.8629243645	0.6660501121
225	0.8634102732	0.6643805563
226	0.863377263	0.6633831181
227	0.8624054457	0.6615351393
228	0.8619525472	0.6602591849
229	0.8628913544	0.6588722372
230	0.8628913544	0.6571277145
231	0.863377263	0.6555904727
232	0.8643160703	0.6542728415
233	0.8643160703	0.6530810176
234	0.863377263	0.6516721175
235	0.8638631717	0.6498175124
236	0.863377263	0.6482343092
237	0.8638631717	0.6464359777
238	0.8634102732	0.6446881323
239	0.8638961818	0.6434576311
240	0.8638961818	0.6425091979
241	0.8643820905	0.6412878301
242	0.8643820905	0.6394424765
243	0.8648679992	0.6379703378
244	0.8648679992	0.6363460213
245	0.8658068064	0.6346840383
246	0.8658068064	0.6333201367
247	0.8658068064	0.6320219428
248	0.8662927151	0.6304762382
249	0.8662597049	0.6288183973
250	0.8676844208	0.6272032988
251	0.8667456136	0.6256896556
252	0.8672315223	0.6239669441
253	0.8667786237	0.6225521025
254	0.8676844208	0.6209560434
255	0.8676844208	0.6193577356
256	0.8676844208	0.618069921
257	0.8676844208	0.6166166042
258	0.8681373194	0.6153084438
259	0.8681703295	0.613915242
260	0.8681703295	0.6124252661
261	0.8681703295	0.6111502002
262	0.8686562382	0.6096013115
263	0.8691421468	0.6082746285
264	0.8691421468	0.6069418767
265	0.8691421468	0.6059747746
266	0.8695950454	0.6048180742
267	0.8700809541	0.603353384
268	0.8700809541	0.6018656317
269	0.8700809541	0.6006427733
270	0.8705668627	0.5996381794
271	0.8710527714	0.5981528429
272	0.8710527714	0.5968894723
273	0.8705668627	0.5957042694
274	0.8701139642	0.5943146508
275	0.8710197613	0.5929890058
276	0.8715056699	0.5914711906
277	0.8715056699	0.5900432181
278	0.8715056699	0.5886910365
279	0.8715056699	0.5869542129
280	0.8719585685	0.5853254279
281	0.8719585685	0.5840131618
282	0.8719585685	0.5824631183
283	0.8715056699	0.581103589
284	0.8715056699	0.579828511
285	0.8719585685	0.5787659327
286	0.8715056699	0.5773364584
287	0.8710197613	0.5760887172
288	0.8710527714	0.574874444
289	0.8719585685	0.5735987136
290	0.8724444772	0.5723228352
291	0.8744735958	0.5710338361
292	0.8738691931	0.5697267508
293	0.8748080003	0.5685662046
294	0.8748080003	0.5670515441
295	0.8748080003	0.5659966385
296	0.8752939089	0.5646584144
297	0.8752939089	0.5638335649
298	0.8757798176	0.5626293083
299	0.8753269191	0.5614789277
300	0.8758128277	0.5600899845
301	0.8753269191	0.5591098144
302	0.8757798176	0.557931296
303	0.8748410104	0.5564700883
304	0.8757798176	0.5554544838
305	0.8762327162	0.5541592385
306	0.8762327162	0.5527067805
307	0.8762327162	0.5515312194
308	0.8771715234	0.5505473095
309	0.8776574321	0.5493382282
310	0.8781433407	0.5480908287
311	0.8781433407	0.5468095256
312	0.8786292494	0.5454904711
313	0.8786292494	0.5442675083
314	0.8786292494	0.5429853433
315	0.8786292494	0.5417352177
316	0.8786292494	0.5406417092
317	0.8795680566	0.5394885597
318	0.8790821479	0.5382940327
319	0.8790821479	0.53738847
320	0.8790821479	0.5364331298
321	0.8790821479	0.5350766201
322	0.8790821479	0.5339449722
323	0.8806253579	0.5327233252
324	0.8790821479	0.5316861147
325	0.8806253579	0.5306021989
326	0.8806253579	0.5293890976
327	0.8810782564	0.528049935
328	0.8810782564	0.5268574136
329	0.8810782564	0.5256795163
330	0.8810782564	0.5243720401
331	0.8815641651	0.5231689279
332	0.8815641651	0.5220646811
333	0.8815971752	0.520972256
334	0.8811112665	0.5198372829
335	0.8810782564	0.518749522
336	0.8815641651	0.5175893117
337	0.8815641651	0.516677216
338	0.8815641651	0.5154482579
339	0.8815641651	0.5143983116
340	0.8815641651	0.5132127404
341	0.8815641651	0.5122431519
342	0.8820170636	0.5111911719
343	0.8820500737	0.5101428885
344	0.8820500737	0.509011631
345	0.8820500737	0.5078328951
346	0.8825359824	0.506730899
347	0.8835077998	0.5056755894
348	0.8835077998	0.5043847827
349	0.8839606983	0.5033498474
350	0.8834747896	0.5023352171
351	0.8830218911	0.5013182505
352	0.8835077998	0.500204078
353	0.8839937084	0.4992491327
354	0.8855369184	0.4981780706
355	0.8859898169	0.4971728409
356	0.8875330268	0.4961913774
357	0.8880189355	0.4951277201
358	0.8880189355	0.4942310002
359	0.8885048442	0.4933038853
360	0.8880189355	0.4923475537
361	0.8880189355	0.4915387863
362	0.8880189355	0.4904201442
363	0.8885048442	0.4893795235
364	0.8900480541	0.4885681079
365	0.8900480541	0.48753956
366	0.8885048442	0.4866630524
367	0.8894766615	0.4857593646
368	0.88992956	0.4848645433
369	0.8904154687	0.4838528305
370	0.8909013774	0.4830169486
371	0.8923260933	0.482048841
